"user_id","game_name","payment_month","revenue_amount_usd","language","has_older_device_model","age","engagement_month","churn_month","last_month","engagement_range","churn_range","lt"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-09-01 00:00:00+00","17.58","uk","",25,"2022-09-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","2.0000000000000000","1.00000000000000000000"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-09-01 00:00:00+00","14.7","uk","",25,"2022-09-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","2.0000000000000000","1.00000000000000000000"
"0dJXy70SFjxVR6YgOPZzMQ==","game 3","2022-11-01 00:00:00+00","17.19","uk","",27,"2022-11-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","1.00000000000000000000","0.00000000000000000000"
"14RMzQMoG017OLkaDBFjng==","game 3","2022-11-01 00:00:00+00","12.75","uk","",36,"2022-07-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","4.0000000000000000","1.00000000000000000000","4.0000000000000000"
"14RMzQMoG017OLkaDBFjng==","game 3","2022-07-01 00:00:00+00","14.43","uk","",36,"2022-07-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","1.00000000000000000000","4.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-09-01 00:00:00+00","34.8","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01 00:00:00+00","22.32","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-08-01 00:00:00+00","19.71","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-10-01 00:00:00+00","30.36","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-08-01 00:00:00+00","25.74","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01 00:00:00+00","17.64","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01 00:00:00+00","28.62","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-08-01 00:00:00+00","43.59","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01 00:00:00+00","20.64","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01 00:00:00+00","30.06","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01 00:00:00+00","14.67","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-10-01 00:00:00+00","12.99","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-10-01 00:00:00+00","12.45","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01 00:00:00+00","14.19","ru","",23,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","3.0000000000000000"
"1dvc3uv3gFy83YY5oJeFkQ==","game 3","2022-08-01 00:00:00+00","22.44","uk","",17,"2022-08-01 00:00:00+00","2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","4.0000000000000000","0.00000000000000000000"
"1dvc3uv3gFy83YY5oJeFkQ==","game 3","2022-08-01 00:00:00+00","23.49","uk","",17,"2022-08-01 00:00:00+00","2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","4.0000000000000000","0.00000000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-08-01 00:00:00+00","21.18","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-09-01 00:00:00+00","13.71","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-06-01 00:00:00+00","18.03","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-10-01 00:00:00+00","14.85","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","4.0000000000000000","0.00000000000000000000","6.0000000000000000"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-07-01 00:00:00+00","16.29","ru","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","0.00000000000000000000","6.0000000000000000"
