"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","mod_churn_month","lifetime_in_month"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-11-01","95.43","uk","",19,"2022-05-01","","-4"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-08-01","21.87","uk","",19,"2022-05-01","","-4"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-06-01","28.95","uk","",19,"2022-05-01","","-4"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-12-01","75.81","uk","",19,"2022-05-01","","-4"
"/70HXakPPmIGA9K58CIOug==","game 3","2022-11-01","12.51","uk","",18,"2022-10-01","2022-12-01","2"
"/70HXakPPmIGA9K58CIOug==","game 3","2022-10-01","15.48","uk","",18,"2022-10-01","2022-12-01","2"
"72brUr/DKItStlTen5pHYg==","game 3","2022-06-01","86.91","uk","",24,"2022-03-01","2022-12-01","9"
"72brUr/DKItStlTen5pHYg==","game 3","2022-05-01","19.92","uk","",24,"2022-03-01","2022-12-01","9"
"72brUr/DKItStlTen5pHYg==","game 3","2022-10-01","31.98","uk","",24,"2022-03-01","2022-12-01","9"
"72brUr/DKItStlTen5pHYg==","game 3","2022-11-01","13.56","uk","",24,"2022-03-01","2022-12-01","9"
"72brUr/DKItStlTen5pHYg==","game 3","2022-07-01","37.11","uk","",24,"2022-03-01","2022-12-01","9"
"72brUr/DKItStlTen5pHYg==","game 3","2022-08-01","30.63","uk","",24,"2022-03-01","2022-12-01","9"
"72brUr/DKItStlTen5pHYg==","game 3","2022-09-01","18.3","uk","",24,"2022-03-01","2022-12-01","9"
"72brUr/DKItStlTen5pHYg==","game 3","2022-03-01","24.15","uk","",24,"2022-03-01","2022-12-01","9"
"75lEf3nSWLSf6GncqhR9gQ==","game 3","2022-05-01","58.26","ru","",22,"2022-03-01","2022-10-01","7"
"75lEf3nSWLSf6GncqhR9gQ==","game 3","2022-06-01","86.85","ru","",22,"2022-03-01","2022-10-01","7"
"75lEf3nSWLSf6GncqhR9gQ==","game 3","2022-04-01","65.97","ru","",22,"2022-03-01","2022-10-01","7"
"75lEf3nSWLSf6GncqhR9gQ==","game 3","2022-09-01","13.8","ru","",22,"2022-03-01","2022-10-01","7"
"75lEf3nSWLSf6GncqhR9gQ==","game 3","2022-07-01","49.23","ru","",22,"2022-03-01","2022-10-01","7"
"75lEf3nSWLSf6GncqhR9gQ==","game 3","2022-03-01","14.1","ru","",22,"2022-03-01","2022-10-01","7"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-07-01","21.48","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-03-01","48.45","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-09-01","50.61","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-10-01","34.92","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-08-01","76.29","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-11-01","33.30","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-05-01","36.75","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-04-01","53.49","uk","",20,"2022-03-01","","-2"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-06-01","97.95","uk","",20,"2022-03-01","","-2"
