"user_id","payment_month","engagement_month","churn_month","revenue","new_user_revenue","expansion_revenue","contraction_revenue","churn_revenue","revenue_changes","revenue_change_factors","game_name","language","has_older_device_model","age","lifetime_in_month"
"4b7l8C489HEJirtoe7xtFg==","2022-06-01","2022-03-01","","22.83","","","-3.57","","-3.57","contraction revenue","game 3","uk",1,20,10
"4b7l8C489HEJirtoe7xtFg==","2022-07-01","2022-03-01","","89.28","","66.45","","","66.45","expansion revenue","game 3","uk",1,20,10
"4b7l8C489HEJirtoe7xtFg==","2022-08-01","2022-03-01","","16.56","","","-72.72","","-72.72","contraction revenue","game 3","uk",1,20,10
"4b7l8C489HEJirtoe7xtFg==","2022-09-01","2022-03-01","","18.24","","1.68","","","1.68","expansion revenue","game 3","uk",1,20,10
"4b7l8C489HEJirtoe7xtFg==","2022-11-01","2022-03-01","","31.26","","13.02","","","13.02","expansion revenue","game 3","uk",1,20,10
"4b7l8C489HEJirtoe7xtFg==","2022-12-01","2022-03-01","","21.75","","","-9.51","","-9.51","contraction revenue","game 3","uk",1,20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-03-01","2022-03-01","","17.79","17.79","","","","17.79","new user revenue","game 3","ru","",20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-04-01","2022-03-01","","125.97","","108.18","","","108.18","expansion revenue","game 3","ru","",20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-05-01","2022-03-01","","91.68","","","-34.29","","-34.29","contraction revenue","game 3","ru","",20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-06-01","2022-03-01","","27.87","","","-63.81","","-63.81","contraction revenue","game 3","ru","",20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-07-01","2022-03-01","","40.71","","12.84","","","12.84","expansion revenue","game 3","ru","",20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-08-01","2022-03-01","","47.91","","7.20","","","7.20","expansion revenue","game 3","ru","",20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-09-01","2022-03-01","","23.34","","","-24.57","","-24.57","contraction revenue","game 3","ru","",20,10
"4btLP2zvi8eBV0t08fdkKQ==","2022-12-01","2022-03-01","","92.10","","68.76","","","68.76","expansion revenue","game 3","ru","",20,10
"4EiWC2ewiX2A7i9NuBAefQ==","2022-09-01","2022-09-01","2022-12-01","18.69","18.69","","","","18.69","new user revenue","game 3","uk",1,18,3
"4EiWC2ewiX2A7i9NuBAefQ==","2022-10-01","2022-09-01","2022-12-01","57.39","","38.70","","","38.70","expansion revenue","game 3","uk",1,18,3
"4EiWC2ewiX2A7i9NuBAefQ==","2022-11-01","2022-09-01","2022-12-01","29.79","","","-27.60","","-27.60","contraction revenue","game 3","uk",1,18,3
"4EiWC2ewiX2A7i9NuBAefQ==","2022-12-01","2022-09-01","2022-12-01","0","","","","-29.79","-29.79","churn revenue","game 3","uk",1,18,3
"4oH5e29koOH9zNYW8Kwcsg==","2022-05-01","2022-05-01","2022-09-01","12.99","12.99","","","","12.99","new user revenue","game 3","uk","",28,4
"4oH5e29koOH9zNYW8Kwcsg==","2022-07-01","2022-05-01","2022-09-01","18.06","","5.07","","","5.07","expansion revenue","game 3","uk","",28,4
"4oH5e29koOH9zNYW8Kwcsg==","2022-08-01","2022-05-01","2022-09-01","12.51","","","-5.55","","-5.55","contraction revenue","game 3","uk","",28,4
"4oH5e29koOH9zNYW8Kwcsg==","2022-09-01","2022-05-01","2022-09-01","0","","","","-12.51","-12.51","churn revenue","game 3","uk","",28,4
"4pssft0TgDfiQexjbe25lw==","2022-06-01","2022-06-01","2022-12-01","14.76","14.76","","","","14.76","new user revenue","game 3","ru","",26,6
"4pssft0TgDfiQexjbe25lw==","2022-07-01","2022-06-01","2022-12-01","14.43","","","-0.33","","-0.33","contraction revenue","game 3","ru","",26,6
"4pssft0TgDfiQexjbe25lw==","2022-08-01","2022-06-01","2022-12-01","59.40","","44.97","","","44.97","expansion revenue","game 3","ru","",26,6
