"user_id","game_name","payment_date","revenue_amount_usd","user_id","game_name","language","has_older_device_model","age"
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-12-24,24.69,WRx4ye0bvLc4925ketwxzQ==,game 3,uk,false,14
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-07-17,15.06,"75lEf3nSWLSf6GncqhR9gQ==",game 3,ru,false,22
JBV4ilPNTtWevrqq146kyg==,game 3,2022-07-07,17.43,JBV4ilPNTtWevrqq146kyg==,game 3,uk,false,43
TamEW7rhOwxDSDgAWZHDnQ==,game 3,2022-12-15,21.6,TamEW7rhOwxDSDgAWZHDnQ==,game 3,uk,false,23
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-07-12,30.78,T+RA0/fgzbUBLF89D4AEDA==,game 3,ru,false,23
+osJakLn8jv4bzFmPieelw==,game 3,2022-12-04,16.32,+osJakLn8jv4bzFmPieelw==,game 3,uk,false,30
gPRMy8HkmaiyX+13OxuP/A==,game 3,2022-10-08,38.22,gPRMy8HkmaiyX+13OxuP/A==,game 3,ru,false,21
eoqO46DzxSrKA2rredUNyQ==,game 3,2022-10-20,14.22,eoqO46DzxSrKA2rredUNyQ==,game 3,uk,false,24
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-08-02,14.19,"2FYEYdoJMUOtbJ6TruruWA==",game 3,ru,false,20
Yh9mYycPmc8CH9Rbjhu3ZQ==,game 3,2022-09-25,12.09,Yh9mYycPmc8CH9Rbjhu3ZQ==,game 3,uk,false,28
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-07-06,12.15,dUXVADLWvf2uvh+Q6TNrMw==,game 3,ru,false,19
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-11-08,18.51,fuL+cD0zV6Gn4ypTYmXUgw==,game 3,uk,false,16
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-06-11,17.13,B4b6v6eUHvAVOeAQk6EEiw==,game 3,ru,false,23
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-12-18,30.9,"6We7zBO7mVbNxGEl/xPKVg==",game 3,uk,false,19
"7zai/c69uF/NhB95HgKuYw==",game 3,2022-08-02,18.33,"7zai/c69uF/NhB95HgKuYw==",game 3,uk,false,16
dVTYjVpXbOM/sOgCq4CV0g==,game 3,2022-10-12,23.43,dVTYjVpXbOM/sOgCq4CV0g==,game 3,uk,false,25
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-10-27,19.8,WRx4ye0bvLc4925ketwxzQ==,game 3,uk,false,14
BJlqmsfEshc/QjsD7VgEjg==,game 3,2022-06-24,12.12,BJlqmsfEshc/QjsD7VgEjg==,game 3,ru,false,18
ORSvkhCut21rsk0cVtJfJA==,game 3,2022-11-30,14.19,ORSvkhCut21rsk0cVtJfJA==,game 3,uk,false,21
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-10-18,22.38,QZBiEFECZAgVl5IkN9/cFw==,game 3,en,false,16
